Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
2.500119701E0,-1.97E+00,-1.63E+00,-5.33E-01,2.616299160E0,0.00E+00
2.510121263E0,-6.55E-01,-1.24E+00,-1.23E+00,1.865100608E0,0.00E+00
2.520119701E0,5.130599976E0,-1.85E+00,-1.90E+00,5.775822682E0,0.00E+00
2.530121263E0,6.732899666E0,-3.91E+00,-2.39E+00,8.145772644E0,0.00E+00
2.540121263E0,7.508399963E0,-5.43E+00,-2.05E+00,9.490759649E0,0.00E+00
2.550119701E0,9.337100029E0,-4.91E+00,-1.19E+00,1.061861054E1,0.00E+00
2.560119701E0,9.827400208E0,-3.70E+00,-4.79E-01,1.051032864E1,0.00E+00
2.570119701E0,8.808199883E0,-1.82E+00,-5.20E-01,9.009528651E0,0.00E+00
2.580119701E0,7.825299740E0,-4.69E-01,-1.74E-01,7.841252935E0,0.00E+00
2.590121263E0,6.589200020E0,-1.47E-01,-1.15E+00,6.691195335E0,0.00E+00
2.600121263E0,6.144999981E0,-3.04E-01,-1.27E+00,6.282730044E0,0.00E+00
2.610121263E0,5.933499813E0,-4.64E-01,-1.58E+00,6.156684879E0,0.00E+00
2.620121263E0,5.713399887E0,-3.78E-01,-1.97E+00,6.055018800E0,0.00E+00
2.630119701E0,4.953099728E0,-3.62E-01,-2.58E+00,5.597657866E0,0.00E+00
2.640119701E0,3.805899858E0,-2.41E-01,-2.91E+00,4.795629541E0,0.00E+00
2.650119701E0,2.558300018E0,-1.03E-01,-3.42E+00,4.270391304E0,0.00E+00
2.660119701E0,1.149699926E0,-1.48E-01,-3.77E+00,3.941981447E0,0.00E+00
2.670119701E0,9.200000204E-3,-1.02E-01,-3.70E+00,3.704915568E0,0.00E+00
2.680121263E0,-1.31E+00,-4.98E-02,-3.50E+00,3.740632663E0,0.00E+00
2.690121263E0,-2.08E+00,1.595000029E-1,-2.86E+00,3.535071691E0,0.00E+00
2.700119701E0,-1.72E+00,1.728699923E0,-1.19E+00,2.709398721E0,0.00E+00
2.710119701E0,-1.79E+00,1.665300012E0,-2.34E+00,3.383125157E0,0.00E+00
2.720121263E0,-1.95E+00,5.737999678E-1,-3.54E+00,4.081711654E0,0.00E+00
2.730119701E0,-2.27E+00,-8.38E-01,-4.14E+00,4.793999282E0,0.00E+00
2.740119701E0,-2.87E+00,-1.56E+00,-4.34E+00,5.436715793E0,0.00E+00
2.750121263E0,-2.48E+00,-1.39E+00,-3.99E+00,4.904675974E0,0.00E+00
2.760121263E0,-1.56E+00,-6.96E-01,-2.90E+00,3.369163894E0,0.00E+00
2.770119701E0,-1.44E+00,-1.63E-02,-2.23E+00,2.657282067E0,0.00E+00
2.780119701E0,-9.99E-01,7.554999590E-1,-1.56E+00,2.002545217E0,0.00E+00
2.790119701E0,-5.57E-01,1.411299944E0,-1.65E+00,2.239457160E0,0.00E+00
2.800121263E0,-3.28E-01,1.631500006E0,-1.31E+00,2.116317881E0,0.00E+00
2.810119701E0,-2.47E-02,1.010299921E0,-1.30E+00,1.648265841E0,0.00E+00
2.820121263E0,-1.54E-01,5.299999937E-2,-1.61E+00,1.617003608E0,0.00E+00
2.830121263E0,-6.75E-01,-1.02E+00,-1.31E+00,1.790783035E0,0.00E+00
2.840119701E0,-8.94E-01,-2.68E+00,-6.59E-01,2.900243790E0,0.00E+00
